iteration,class,top,left,bottom,right,center_x,center_y
131,box,192.75,144.16,256.0,158.95,151.555,224.375
132,box,224.55,80.0,239.06,95.04,87.52000000000001,231.805
132,box,191.56,144.19,256.0,158.92,151.555,223.78
132,box,127.98,144.0,143.02,159.04,151.51999999999998,135.5
132,goomba,200.09,192.71,214.94,208.56,200.635,207.515
132,mario,112.22,174.08,126.79,189.79,181.935,119.505
133,box,222.61,80.0,237.05,95.01,87.505,229.83
133,box,125.99,144.0,141.01,159.03,151.515,133.5
133,goomba,198.18,192.67,212.9,208.58,200.625,205.54000000000002
133,mario,112.17,177.06,126.75,192.73,184.89499999999998,119.46000000000001
133,box,189.23,144.14,256.0,159.0,151.57,222.615
134,goomba,195.21,192.67,209.87,208.66,200.665,202.54000000000002
134,box,220.59,80.0,235.03,94.98,87.49000000000001,227.81
134,mario,112.18,181.03,126.8,196.76,188.89499999999998,119.49000000000001
134,box,187.87,144.18,255.8,158.99,151.585,221.835
134,box,124.03,143.99,139.02,158.95,151.47,131.525
135,box,218.31,80.01,233.12,95.02,87.515,225.715
135,box,121.96,144.01,137.09,159.03,151.51999999999998,129.525
135,mario,112.11,186.08,126.72,201.91,193.995,119.41499999999999
135,goomba,193.11,192.78,207.96,208.54,200.66,200.53500000000003
135,box,184.67,144.24,255.91,158.93,151.585,220.29
136,box,217.59,80.0,232.05,94.99,87.495,224.82
136,box,121.21,144.0,136.06,158.98,151.49,128.635
136,mario,112.26,190.91,126.69,206.51,198.70999999999998,119.475
136,box,183.94,144.25,255.49,158.91,151.57999999999998,219.715
136,goomba,191.14,192.73,205.81,209.01,200.87,198.475
137,box,119.11,144.01,134.15,159.01,151.51,126.63
137,box,215.44,80.02,230.18,95.01,87.515,222.81
137,mario,114.17,193.35,125.18,207.53,200.44,119.67500000000001
137,goomba,188.18,192.78,203.03,208.79,200.785,195.60500000000002
137,box,182.09,144.25,256.0,158.94,151.595,219.04500000000002
138,mario,111.95,192.21,125.27,207.5,199.85500000000002,118.61
138,goomba,186.25,192.7,201.08,208.68,200.69,193.66500000000002
138,box,213.47,79.99,228.01,94.96,87.475,220.74
138,box,116.98,143.97,132.04,159.02,151.495,124.50999999999999
138,box,179.99,144.23,256.0,158.91,151.57,217.995
139,box,115.16,144.0,130.06,159.01,151.505,122.61
139,box,211.56,80.0,226.07,95.03,87.515,218.815
139,goomba,183.16,192.77,198.03,208.59,200.68,190.595
139,mario,111.96,192.24,125.38,207.2,199.72,118.66999999999999
139,box,178.11,144.2,256.0,158.85,151.52499999999998,217.055
140,box,112.43,144.09,127.98,159.05,151.57,120.20500000000001
140,box,209.01,80.09,224.03,95.06,87.575,216.51999999999998
140,goomba,180.06,192.83,194.99,208.39,200.61,187.525
140,mario,114.25,192.37,123.77,207.53,199.95,119.00999999999999
140,box,176.05,144.23,256.0,158.8,151.515,216.025
141,box,206.57,80.11,222.01,95.01,87.56,214.29
141,mario,112.28,187.12,126.92,202.5,194.81,119.6
141,box,174.98,144.22,254.36,158.85,151.535,214.67000000000002
141,goomba,178.14,192.86,192.85,208.5,200.68,185.495
141,box,110.38,144.1,126.02,159.0,151.55,118.19999999999999
142,box,108.42,144.09,124.08,159.08,151.585,116.25
142,box,204.66,80.1,220.11,95.08,87.59,212.385
142,mario,112.27,181.09,126.94,196.6,188.845,119.60499999999999
142,goomba,175.21,192.89,189.93,208.26,200.575,182.57
142,box,172.64,144.24,253.72,158.84,151.54000000000002,213.18
